sent_id,word_id,code1,code2,sentence
75,10,B-STEP,O,"Google will also show reviews which may be helpful in [pointing] out information that you may otherwise not know , such as how good/bad the condition of the trail is , how steep/far up it goes , and their may also potentially be hours in which the trail is open to the public and hours when its closed ."
76,1,O,I-STEP,"You [will] want to figure out what location you want , price , how nice the inside is , amenities , etc ."
76,2,O,I-STEP,"You will [want] to figure out what location you want , price , how nice the inside is , amenities , etc ."
77,2,O,I-STEP,If I [have] to wait a long time to get the appointment I definitely wo n't be going to that clinic .
77,17,B-STEP,O,If I have to wait a long time to get the appointment I definitely wo n't be [going] to that clinic .
78,4,B-STEP,O,"The next thing to [do] is to make sure that I am looking at a legitimate website for finding apartments , because I do not want to get scammed ."
78,11,O,I-STEP,"The next thing to do is to make sure that I [am] looking at a legitimate website for finding apartments , because I do not want to get scammed ."
78,18,B-STEP,O,"The next thing to do is to make sure that I am looking at a legitimate website for [finding] apartments , because I do not want to get scammed ."
78,27,B-STEP,O,"The next thing to do is to make sure that I am looking at a legitimate website for finding apartments , because I do not want to [get] scammed ."
78,28,B-STEP,O,"The next thing to do is to make sure that I am looking at a legitimate website for finding apartments , because I do not want to get [scammed] ."
79,4,B-STEP,O,"Reviews will let you [know] if it 's too hard for certain conditions , or if dogs are allowed ."
81,12,O,I-STEP,"I like it to be as quiet as possible so that I [can] hear the sounds of nature , like the birds and the wind blowing through the trees , during my walk when I 'm not listening to music ."
81,13,O,B-STEP,"I like it to be as quiet as possible so that I can [hear] the sounds of nature , like the birds and the wind blowing through the trees , during my walk when I 'm not listening to music ."
81,35,O,I-STEP,"I like it to be as quiet as possible so that I can hear the sounds of nature , like the birds and the wind blowing through the trees , during my walk when I ['m] not listening to music ."
83,1,B-STEP,O,I [pay] attention to the dates of the reviews because management changes over time and this could make a difference in the renter 's experience .
84,9,O,I-STEP,I would probably also have to consider where I [have] already eaten this week .
87,2,O,I-STEP,Then I [will] find the numbers for the apartments and contact the management to see if there are openings .
88,2,B-STEP,I-STEP,"Then I [take] a look at my price cost , is it something expensive that I want to eat or is it low cost ?"
88,18,B-STEP,O,"Then I take a look at my price cost , is it something expensive that I want to [eat] or is it low cost ?"
89,10,B-STEP,O,I then go online to an apartment web site that [lists] available apartments .
90,11,B-STEP,O,After I start the hike I would routinely time myself to [make] sure I am still on track .
92,3,B-STEP,O,"Then , you [need] to do your research ."
93,4,B-STEP,O,If they ca n't [get] me in soon enough I repeat the process and try another clinic .
94,4,B-STEP,O,"My goal is to [find] a restaurant to eat at and so I have to consider what it is that I like to eat , what I have a budget for , and what is open ."
94,8,B-STEP,O,"My goal is to find a restaurant to [eat] at and so I have to consider what it is that I like to eat , what I have a budget for , and what is open ."
94,13,O,I-STEP,"My goal is to find a restaurant to eat at and so I [have] to consider what it is that I like to eat , what I have a budget for , and what is open ."
94,23,B-STEP,O,"My goal is to find a restaurant to eat at and so I have to consider what it is that I like to [eat] , what I have a budget for , and what is open ."
95,3,B-STEP,O,If it might [take] too long then I 'd likely move farther down the list .
95,8,O,I-STEP,If it might take too long then I ['d] likely move farther down the list .
96,1,O,I-STEP,"You [might] run into a problem with the security deposit when you go to rent , sometimes apartment complexes want more of a deposit than you feel is necessary , if you feel it is out of your price range , you might have no choice other than to haggle on it or continue your search ."
96,12,B-STEP,O,"You might run into a problem with the security deposit when you [go] to rent , sometimes apartment complexes want more of a deposit than you feel is necessary , if you feel it is out of your price range , you might have no choice other than to haggle on it or continue your search ."
96,14,B-STEP,O,"You might run into a problem with the security deposit when you go to [rent] , sometimes apartment complexes want more of a deposit than you feel is necessary , if you feel it is out of your price range , you might have no choice other than to haggle on it or continue your search ."
96,32,B-STEP,O,"You might run into a problem with the security deposit when you go to rent , sometimes apartment complexes want more of a deposit than you feel is necessary , if you [feel] it is out of your price range , you might have no choice other than to haggle on it or continue your search ."
97,2,O,I-STEP,Then I [will] sort them by price .
99,2,O,I-STEP,"After I [am] looking at the list of clinics that take my insurance , I look up the Doctors listed on google and try to find honest reviews about the Doctors and the clinics ."
99,10,B-STEP,O,"After I am looking at the list of clinics that [take] my insurance , I look up the Doctors listed on google and try to find honest reviews about the Doctors and the clinics ."
99,19,B-STEP,O,"After I am looking at the list of clinics that take my insurance , I look up the Doctors [listed] on google and try to find honest reviews about the Doctors and the clinics ."
99,23,B-STEP,I-STEP,"After I am looking at the list of clinics that take my insurance , I look up the Doctors listed on google and [try] to find honest reviews about the Doctors and the clinics ."
